,id,author,problem_id,code,submission_id,score,time,type,predicted,predicted_label
5,1804043,6630031121,05_List_11,"a=input()
x=""0123456789""
k=[0,1,2,3,4,5,6,7,8,9]
for i in range(len(a)) :
    if a[i] in x:
        if int(a[i]) not in k :
            pass
        else:
           k.remove(int(a[i]))
    else:
        pass
if k == []:
    print(""None"")
else:
    p = """"
    for i in k:
        p += str(i)+"",""
    p=p[:-1]
    print(p)
",1804043,100.0,over 1 year ago,unknown,0,human
6,2015946,6730088021,05_List_11,"d = input()
counts = [0]*10
for c in d :
    if '0'<=c<='9' :
        counts[int(c)] += 1
missing = ''

for x in range(len(counts)) :
    if counts[x] == 0 :
        missing += str(x)+','
        
if missing == '':
    print ('None')
else :
    print (missing[:-1])
    
",2015946,100.0,7 months ago,unknown,0,human
17,1971879,6731313421,05_List_11,"strg = input()
used = []
for i in range(10):
    used.append(0)
for c in strg:
    if('0' <= c <= '9'):
        used[int(c)] = 1
ok = 0
printed = []
for i in range(10):
    if(not(used[i])):
        printed.append(i)
        ok = 1
if(not(ok)):
    print(""None"")
else:
    sz = len(printed)
    for i in range(sz):
        if(i != sz-1):
            print(""{},"".format(printed[i]), end = '')
        else:
            print(printed[i], end = '')",1971879,100.0,7 months ago,unknown,0,human
23,1916726,6630135821,05_List_11,"x=input()
y=""""
i=0
while i<10:
    if str(i) not in x:
        y+=str(i)+"",""
    i+=1
if y=="""":
    print(""None"")
else:
    z=y[:len(y)-1]
    print(z)",1916726,100.0,about 1 year ago,unknown,0,human
29,2017300,6730013021,05_List_11,"n = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
m = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]

x = input()
for e in n :
    if e in x :
        m.remove(e)
if m == [] :
    print(""None"")
   
 
        
        
print("","".join(m))",2017300,100.0,7 months ago,unknown,0,human
31,2132069,6730398621,05_List_11,"digits = list('0123456789')
x = input()
for c in x:
    if c in digits:
        digits.remove(c)

if len(digits) == 0:
    print('None')
else:
    print(','.join(digits))",2132069,100.0,6 days ago,unknown,0,human
38,2136631,6730215421,05_List_11,"def missingdigit(x) :
    list_digit = ['0','1','2','3','4',
                  '5','6','7','8','9']
    for e in x :
        if e in '0123456789' and e in list_digit :
            list_digit.remove(e)
    x = ''
    if len(list_digit) == 0 : return 'None'
    for e in list_digit : x += e + ','
    return x[:-1]

x = input()
ans = missingdigit(x)
print(ans)",2136631,100.0,3 days ago,unknown,0,human
40,1922941,6630355521,05_List_11,"t = input()
a = [0,1,2,3,4,5,6,7,8,9]
out = ''
for i in range(len(t)):
    if '0'<= t[i] <= '9':
        b = int(t[i])
        if b in a:
            a.remove(b)
if a == []:
    print('None')
else:
    for i in a:
        out += str(i) + ','
    print(out[:-1])
",1922941,100.0,about 1 year ago,unknown,0,human
42,2110310,6730357921,05_List_11,"x=input()
k=""0123456789""
m=[0,1,2,3,4,5,6,7,8,9]

for i in range(len(x)) :
    if x[i] in k :
        if int(x[i])in m:
            m.remove(int(x[i]))
if m==[] :
    print(""None"")
else :
 for i in range(len(m)) :
    m[i]=str(m[i])
    
 print("","".join(m))
    
        
",2110310,100.0,about 1 month ago,unknown,0,human
43,2038952,6730012321,05_List_11,"a = input()
b = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""] # list(""012345"") ใช้อันนี้เขียนน้อยกว่า
c = """"
for i in a  :
    if i in b :
        b.remove(i)

    
if len(b)==0:
    print(""None"")
else:
    print("","".join(b))",2038952,100.0,6 months ago,unknown,0,human
45,1915878,6632142521,05_List_11,"a = input()
l = []
for i in range(10):
    if str(i) not in a:
        l.append(str(i))
if l != []:
    for i in range(len(l)):
        if i < len(l) - 1:
            print(l[i]+',',end='')
        else:
            print(l[i])
else:
    print('None')",1915878,100.0,about 1 year ago,unknown,0,human
47,1808452,6631348321,05_List_11,"num = input()
list = ""0123456789""
out = []
ans = []
answer = ''
for i in range(len(num)) :
    if num[i] not in  out :
        out.append(num[i])
for i in range(len(list)) :
    if list[i] not in out :
        ans.append(list[i])
for e in ans :
    answer += e 
    answer += "",""
if len(answer) == 0 :
    print(""None"")
else : 
    print(answer[0:-1:1])",1808452,100.0,over 1 year ago,unknown,0,human
52,2136374,6730415621,05_List_11,"s = input()
n = ['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']
m = '0123456789'
a = []


for e in s:
    if e in m:
        a.append(e)
    else:
        pass

for e in a:
    if e in n:
        n.remove(e)
    else:
        pass
d = ','.join(n)
if n == []:
    print('None')
else:
    print(d)

",2136374,100.0,3 days ago,unknown,0,human
55,2041526,6730166321,05_List_11,"x = ['0','1','2','3','4','5','6','7','8','9']
y = input()
for i in y :
    if i in x :
        x.remove(i)
if len(x) == 0 :
    print(""None"")
else :
    print(','.join(x))",2041526,100.0,5 months ago,unknown,0,human
61,2132433,6730324121,05_List_11,"N = list('0123456789')
x = input()
for i in x :
  if i in N :
    N.remove(i)
  else :
    pass
if len(N) == 0 :
  print('None')
else :
  s = ','.join(N)
  print(s)",2132433,100.0,5 days ago,unknown,0,human
63,2022588,6731101721,05_List_11,"x=input()
i=0
r=list('0123456789')
q=''
j=0
for i in range(len(x)) :
    if x[i] in r :
        r.remove(x[i])
    
if r == []:
        q ='None'
else:     
        
    for i in range(len(r)):
            q += r[i]+"",""
    q = q[:-1:]
        
    
print(q)

    
",2022588,100.0,6 months ago,unknown,0,human
64,1916160,6630100821,05_List_11,"a=input()
b=['0','1','2','3','4','5','6','7','8','9']
for i in range(len(a)) :
    if a[i] in b :
        b.remove(a[i])
    else :
        pass
if b ==[]:
    print('None')
else :
    print("","".join(b))
   
",1916160,100.0,about 1 year ago,unknown,0,human
65,2140073,6730360721,05_List_11,"a = list(""0123456789"")
b = input()
for i in b :
    if i in a :
        a.remove(i)

if len(a) == 0 :
    print(""None"")
else :
    print("","".join(a))",2140073,100.0,1 day ago,unknown,0,human
66,2016492,6730058221,05_List_11,"wo=input()
li=[]
li2=[]
for a in range(10) :
   li.append(str(a))
li2[:]=li
for x in wo :
   if x in li2 :
      li2.remove(str(x))
      
if li2==[] :
  print(""None"")
else :
  print(','.join(li2))",2016492,100.0,7 months ago,unknown,0,human
69,1924731,6632230021,05_List_11,"# def missing_digits(t):
t= input()
l=[]
for i in range(10):
      if (str(i) not in str(t)):
        l+=str(i)
        # l.append(i)
if len(l)>0:print("","".join(l))
else:print(None)
    # return l
# exec(input()) # DON'T remove this line",1924731,100.0,about 1 year ago,unknown,0,human
72,2022706,6731132121,05_List_11,"s=input()
d=['0','1','2','3','4','5','6','7','8','9']
for c in s:
    if c in d:
        d.remove(c)
    else:
        pass
if len(d)==0:
    print(""None"")
else:
    print(','.join(d))",2022706,100.0,6 months ago,unknown,0,human
76,1803220,6630049521,05_List_11,"#05_List_11
l = [str(i) for i in range(10)]
ans = []
s = input()
for c in l :ans.append(c) if c not in s else None
print(','.join(ans)) if len(ans) > 0 else print('None')",1803220,100.0,over 1 year ago,unknown,0,human
77,1809034,6631130821,05_List_11,"n = input()
x = ['0','1','2','3','4','5','6','7','8','9']
for i in n:
    if i in x:
        x.remove(i)
        
if (len(x)==0):
    print(""None"")
print(','.join(x))
",1809034,100.0,over 1 year ago,unknown,0,human
83,2054447,6730116021,05_List_11,"x = list(input())
b = []
num = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
for i in num:
    if i not in x:
        b.append(i)
if b == []:
    print(""None"")
else:
    print("","".join(b))
",2054447,100.0,5 months ago,unknown,0,human
85,1923248,6630132921,05_List_11,"s=input()
c=[0]*10
p=[]
for i in range(len(s)):
  if '0'<=s[i]<='9':
    c[int(s[i])]+=1
for i in range(len(c)):
  if c[i] == 0:
    p+=str(i)
if p ==[]:
    print('None')
else:
    p=','.join(p)
    print(p)

",1923248,100.0,about 1 year ago,unknown,0,human
87,2033445,6730129121,05_List_11,"n = input()
c = []
l_n = ['0','1','2','3','4','5','6','7','8','9']
for i in range(len(n)):
    if n[i] in l_n:
        l_n.remove(n[i])
    else:
        pass
if l_n != []:
    for i in range(len(l_n)):
        c.append((l_n[i]))
    print(','.join(c))
else:
    print('None')",2033445,100.0,6 months ago,unknown,0,human
89,1807614,6630053021,05_List_11,"inform = input()
num = {0,1,2,3,4,5,6,7,8,9}
numstring = set(int(i) for i in inform if i.isdigit())
missing = sorted(list(num - numstring))

if missing:
    print(','.join(map(str, missing)))
          
else:
    print('None')
    
#16,23",1807614,100.0,over 1 year ago,unknown,0,human
90,1876943,6630217621,05_List_11,"number = list(""0123456789"")
x = input()
for i in x:
  if i in number:
    number.remove(i)
if len(number) == 0:
  print(""None"")
else:
  print("","".join(number))
",1876943,100.0,about 1 year ago,unknown,0,human
